date,rating,content,cleaned_review,day_of_week,tf_idf_mean_score
2026-07-24,1.0,최악. 천만 넘은 이유는 타이밍과 민족성때문임.,최악 천만 넘 이유 타이밍 민족 때문,Friday,0.0
2026-07-24,5.0,감동도 있고 배우  연기도 좋았고 화면속 배경으로 힐링 모든것이 좋았어요  극장도  깨끗해  편안했어요,감동 있 배우 연기 좋 화면 속 배경 힐링 모든 좋 극장 깨끗 편안,Friday,0.17245293280219456
2026-07-24,5.0,울다가 기절할 뻔 함,울 기절 뻔 하,Friday,0.0
2026-07-23,5.0,한국 신파물 재밌게 봤어요.,한국 신파 물 재밌 보,Thursday,0.1
2026-07-23,5.0,유쾌하면서 감동적인-!!,유쾌 감동,Thursday,0.1
2026-07-23,3.0,역시나 완성도가 아닌 감성팔이가 성공한다,역시 완성도 아니 감성팔이 성공,Thursday,0.0
2026-07-22,4.0,"메가박스 남돌비 좌석 I11 Very Good,  유해진 연기 Very Good, 스토리도 나쁘지 않으나 연출력이 많이 어설픔.",메가박스 남돌비 좌석 유해진 연기 스토리 나쁘 않 연출력 많이 어설프,Wednesday,0.14061318659027983
2026-07-22,5.0,박지훈 잘생겼습니다ㅎ,박 지훈 잘 생기,Wednesday,0.0
2026-07-22,5.0,배우분들 연기가 좋았습니다. 단종이 왕이 되었다면 어떤 왕이 되었을까 ..상상도 해보게 되네요,배우 분 연기 좋 단종 왕 되 어떤 왕 되 상상 하 보 되,Wednesday,0.17228086064166193
2026-07-21,5.0,역사를.다시 생각하게 하는 영화,역사 다시 생각 하 영화,Tuesday,0.13885660499334512
2026-07-21,4.5,내용과 연기가 넘사벽,내용 연기 넘 사 벽,Tuesday,0.1
2026-07-21,4.5,단종옵밥많이먹으세요,단종 밥 많이 먹,Tuesday,0.1
2026-07-20,5.0,정말 오랜만에 엄청 눈물이 나왔다. 갱년기인가?,오랜만 엄청 눈물 나오 갱년기,Monday,0.1
2026-07-20,5.0,완전 대박 최고 멋져요,완전 대박 최고 멋지,Monday,0.0
2026-07-20,5.0,말해뭐해굿입니다요요,말 뭐 하 굿,Monday,0.0
2026-07-20,5.0,믿고보는 배우..유해진 최고입니다.,믿 보 배우 유해진 최고,Monday,0.1405464490516051
2026-07-20,5.0,감동적이었다. 마지막 장면만으로 볼 가치가 있음,감동 마지막 장면 보 가치 있,Monday,0.1
2026-07-19,5.0,연민어린 시선 마지막에는 위로를 주는 영화,연민 어리 시선 마지막 위로 주 영화,Sunday,0.1
2026-07-19,4.5,박지훈 눈빛과 배우들 연기 미쳤다,박 지훈 눈빛 배우 연기 미치,Sunday,0.14141996335306634
2026-07-19,3.5,"재밌다, 감동적이다, 개봉시기 잘 잡았다, 올려치기 적당히.",재밌 감동 개봉 시기 잘 잡 올리 치 적당히,Sunday,0.1413780734343819
2026-07-19,4.0,삼삼하지만 강력했던 감동.,삼삼 강력 감동,Sunday,0.1
2026-07-19,4.0,배우들이 연개를 매우 잘해서 몰입 잘 되고 재밋음,배우 연개 매우 잘 몰입 잘 되 재밋,Sunday,0.1
2026-07-19,5.0,너무 너무 슬프지만 코믹이 녹아있어 재미있게 보았습니다,슬프 코믹 녹 있 재미있 보,Sunday,0.1
2026-07-19,5.0,안 슬픈데? 하고 보다가 어느새 눈물이 처음부터 끝까지 슬픈 영화,안 슬프 하 보 어느새 눈물 처음 끝 슬프 영화,Sunday,0.15949645014257513
2026-07-18,5.0,천만영화라 안볼수가 없어요,천만 영화 안 보 없,Saturday,0.1
2026-07-18,5.0,느낌이 확오는 멋진 작품입니다. 시간 가는 줄 모르고 재밌게 보았네요.,느낌 확 오 멋지 작품 시간 줄 모르 재밌 보,Saturday,0.1
2026-07-18,5.0,완벽 그 자체입니다,완벽 자체,Saturday,0.0
2026-07-18,5.0,왕과 사라가는 인생이 불씽 하네요,왕 사라 인생 불씽 하,Saturday,0.0
2026-07-18,5.0,"""저는 이제 어디로 갑니까.""",이제 어디,Saturday,0.0
2026-07-17,5.0,질보았습니다 재미있어요,지 보 재미있,Friday,0.0
2026-07-17,3.5,배우의 재 발견   소문만큼 재미있지는 않음,배우 재 발견 소문 재미있 않,Friday,0.1
2026-07-17,5.0,더 뭘 말하겠어요 멋있고 감동적이고 역사적이고 등등등,뭐 말 멋있 감동 역사 등등,Friday,0.14136376323528405
2026-07-17,5.0,재밌게 잘봤습니다~~~!!!,재밌 잘 보,Friday,0.1
2026-07-17,4.5,특별한건 없지만 여운이 남네요,특별 없 여운 남,Friday,0.0
2026-07-17,5.0,지루하지 않고 잘 봤어요,지루 않 잘 보,Friday,0.0
2026-07-16,5.0,눈물 광광 박지훈 존잘,눈물 광 광 박지훈 존잘,Thursday,0.1
2026-07-16,5.0,스토리는 뻔했지만 유해진과 박지훈의 연기가 다 한 작품,스토리 뻔 유해진 박지훈 연기 다 하 작품,Thursday,0.14061318659027983
2026-07-16,5.0,잔잔하지만 감동적인 포인트가 있어서 좋았습니다.,잔잔 감동 포인트 있 좋,Thursday,0.1
