rating,date,content
5.0,2026.07.01,"6월 9일 이른 낮 기준 (본점, 케익부띠끄 두곳 다)

웨이팅 : 밖에서 웨이팅 10분도 안 했어요 사람이 생각보다 빨리 빨리 줄어들더라고요 계산 웨이팅도 조금밖에 안 했어요 

가게 안 : 가게 안으로 들어가면 사람 진짜진짜 많아요 그냥 사람들로 가득 차있어요 한바퀴씩 줄서서 도는데 사람 많아도 자연스럽게 줄이 서져요 만약 줄 서다가 깜빡하고 못 담은 빵 있으면 슬쩍 사람 좀 비어있는 곳에 껴서 다시 가거나 처음부터 줄 다시 서야합니다 

계산 : 계산은 거의 1분 정도 기다리다가 계산 했고 완전 빨리 빵 포장해주시고 계산해주십니다 사람들 많아서 직원분이 하시는 말이 잘 안 들려요..! 여러번 물어보면 제 성격으로는 조금 그래서...,, 최대한 귀를 열고 잘 들어야합니다

빵 : 진열대 비자마자 빵 채워주세요 토핑 많이 올라가있는 빵은 집게로 집다가 잘못하면 토핑 떨어질 수도 있어서 빵 아랫부분에서 조금 위 부분 집어서 조심스럽게 드는게 맞는 거 같아요

빵 추천 : ☆망고시루☆ 무조건 드세요 망고 진짜 달고 망고 시럽?도 맛있어요 근데 계속 먹다보면 맛있긴 맛있는데 조금 느끼하고 물려서 탄산이랑 같이 드시는걸 추천해요! 롤 사실거면 ☆순수롤☆ 추천드립니다 기본이 제일 맛있는거 같아요 크림이 하나도 안 느끼하고 적당히 달아요! 진짜 맛있어요!! ☆요거트롤☆ 이 롤도 맛있어요! 요거트라 상큼하고 달콤합니다 한번도 안 드셔보셨다면 추천해요! ☆말차 크로와상☆ 말차  좋아하는 편은 아닌데 맛있습니다 위에 올라가있는 초코 브라우니? 같은게 완전 꾸덕하고 맛있어요 말차 크림인데 말차맛이 엄청 찐하진 않아요 호불호 심하게 갈릴 맛은 아니에요
(이건 오로지 제 의견인데 명란바게트는 그렇게 맛있는지 잘 모르겠어요 짠맛이 강하고 한입 먹으면 짭조름하고 맛있는데 먹다보면 짜요... 혼자서는 못 먹고 가족들이나 친구들끼리 여러명 있을 때 한두조각 나눠먹으면 딱 좋습니다) 접기"
5.0,2026.06.28,"🥯성심당만 100번이상 간사람의 꿀팁방출❤️

✔️웨이팅 평일에도 꾸준히 있음. 연말연초라 평균 평일1시간, 주말1시간30분 웨이팅
✔️5/10 기준 주말오전 웨이팅 40분,  5/14 기준 평일오전 웨이팅없음. 6/5 평일1시 웨이팅20분. 7/10오후 웨이팅20분. 1월23일 1시간20분
8월 주말 웨이팅 45분 
✔️오후 1시~2시가 가장 혼잡, 저녁시간대는 한가하나 없는 빵이 있을 수 있음. 언제는 저녁 8시에가도 많이 남아있는데 언제는 7시에 갔는데 튀소랑 일부빼고 없었음. 되도록 일찍 올것
✔️내부는 항상 혼잡한편, 별도의 고르는 동선이 있는게 아니라 끝쪽부터 들어가서 반대 방향으로 둘러보면 빠르게 나올 수 있음
✔️계산할때도 줄을 서야하는데 계산대별로 줄을 각각 서서 눈치껏 사람없는 계산대로 가서 기다리길
✔️순수롤, 시루종류 찾으시면 -> 여기가 아니라 바로 옆 케익부띠끄매장이 따로 있으니 거기로 갈것
✔️샌드위치정거장(성심당 샌드위치 전문매장)-> 이 건물 지하1층인데 입장줄이 다름. 코너 꺾어 왼편에 별도로
✔️여행 오셨다면 대전역점보다 본점 방문 추천. 대전역점은 규모가 작고 없는 빵도 있음
✔️대전역에서 걸어서 15분인데, 시장쪽으로 오는것보다 지하상가로 바로 이어지므로 대전역 지하철입구(지하상가)로 들어가서 쭉 걸어오는게 가장 편리
✔️인근 빵보관소나 물품보관소에 보관하고 여행하시는거 추천. 특히 시루나 케이크 샀다면 꼭 보관하기. 냉장보관소도 있고 가격은 2~4천원
✔️주차는 성심당 주차장만 네비에 찍으셔서 여기만 항상 만차인데, 우리들공원주차장 현대주차장 정오주차장 이안과병원주차장도 이용 가능합니다. 모두 영수증 가지고 가면 2시간 무료주차 가능(성심당 재휴 모든 브랜드에서 가능, 합산 가능)
✔️주차정산시 주의점: 영수증1시간 + 주차권1시간 = 총 2시간 적용이므로 입차시간이 오래되었다면 직원에게 별도로 주차권 요청(1만원 이상 구매시) 주차권이 없으면 기본 영수증으로 1시간 무료
✔️성심당 굿즈를 사고싶다면 인근에 성심당 문화원이 있음. 굿즈 종류도 많고 성심당 빵을 음료와 먹고갈 수 있음. 포크와 접시 제공. 굿즈가격은 비싼편
✔️성심당이 처음이라면 튀김소보로(1.7) 작은메아리(3.0) 먹물방방이(3.3) 명란바게트(3.8) 튀소구마(1.7) 베스트 메뉴.
✔️바빠서 그런지 직원 친절도는 기대하기 어려움. 물론 친절하신 분도 계시지만 그렇지 않으신 분이 더 많았음
✔️전 매장 적립 가능. 성심당 어플 가입하고 전화번호 적립가능, 적립률 5%로 높으니 추천
✔️빵 종류: 본점>롯백점>DCC점>대전역점
✔️혼잡도: 본점>대전역점>롯백점>DCC점
✔️온누리상품권 가능. 디지털온누리 앱 깔아서 본인이 쓰는 신용체크카드만 등록해두면 본인 평소에 쓰는 카드로 결제할때마다 10%씩 할인되니 꼭 사용하기. 교통카드처럼 선불식으로 충전해서 쓰기. 카드실적도 인정되니 안쓰면 손해
✔️온누리 사용시 직원에게 사용한다고 말안해도 되고 결제하면 자동으로 적용가능. 단 잔액이 결제금액보다 높아야 하니 여유롭게 충전해두기. 카카오페이, 애플페이, 삼성페이 연동결제시에도 적용가능
✔️대전역점은 코레일포스, 롯백점은 백화점포스를 쓰기때문에 온누리상품권 불가. 성심당포인트 적립은 가능. 롯백점은 L포인트 이중적립 가능
 접기"
5.0,2026.06.17,"사람 너무 많아서 현기증남
빵 전반적으로 가성비 죽이고 실패한 메뉴 없음
물론 더 맛있는 빵집 많다 하지만 절대 이 가격엔 없음!!!!

~순전히 개인 기록만을 위해 적는 티어~
☆☆명란바게트
☆☆토요빵
☆☆김치찹쌀주먹밥

☆보문산메아리
☆작은메아리
☆고구마튀소
☆소금빵- 1500원인데 2배 이상 가격의 소금빵에 견줄 만한 맛임
☆새우를낙지- 대전 빵투어 중 빵이 물리면 이만한 해장?템이 없음 꽤 매운 편
☆말차튀소
☆스트롱베리
☆치즈모찌-500원이라는 말 안 되는 가격에 인간사료처럼 술술 들어가는 중독성
☆크림치즈화이트번

빅매치
메론빵
올리브치아바타
우리밀양파빵
튀소
초코튀소
부추빵
교황스콘
소금크루아상
초코버터바게트
콘바게트 접기"
5.0,2026.05.28,"줄은 진짜 너무 길지만ㅠㅠㅠ (연휴에 가서)
명란 안 좋아하는데 명란 바게트 진짜 맛있거 튀손
스테디하게 먹기 좋고 순수롤 맛있아요우요오어엉 또가고팡
담엔 케이크 꼭꼭 먹습니다잉 진짜 꼭.  접기"
5.0,2026.05.06,온누리도되고 너무 좋아요
5.0,2026.05.05,"와...왜? 성심당 성심당 하는지 알겠더라구요..ㅅ.ㅅ
기다리는 줄이 너무 너무 길기는 해도 줄이 빠르게 빠르게 빠져서...기다릴만해요..ㅅ.ㅅ
역시 베테랑이라 경영방식도 남다르더라구요.
srt타고 한시간  거리 나쁘지않아 평일 휴가라 갔던곳..ㅅ.ㅅ
빵맛이 다르고...튀소는 와..입천장 까질정도의 빠삭함...
말차 튀소가 찐 맛있었어요...ㅅ.ㅅ
케잌줄이 따로 있었는데 뷰띠끄줄이라고 빵집 드가는줄인데 그걸 🤦 서서...기다린 거가 아까워서...
기냥 줄서서...롤케잌이랑 시루 구매 완료.

느므 무거울정도의 케잌시루...와 빵 들고 서울 가려는데 기차표가 없다..ㅜㅜ 뿌엥

망고 크레페...와..미쳤다...망고가 계속 샘처럼 솓아나네...ㅋㅋ
근데다 찐 망고야...미쳤다....어떻게 이렇게 맛있을수가...기다린 보람이 있구낭..ㅅ.ㅅ
 접기"
5.0,2026.04.24,"밤늦게 가서 빵이 별로 없었지만 가격이 저렴하고 맛있다.
튀김소보로가 진짜 맛있었다.
매일 가고 싶은 곳!"
5.0,2026.04.17,"맛, 가성비 모두 뛰어남!
그 중 최고는 무화과 파이, 초코바게트, 김치볶음밥, 무화과깜빠뉴, 안녕크레페 ㅠㅠㅠ"
5.0,2026.04.16,"성심당 때문에 대전 방문,,
빵이 진짜 저렴하긴함...
그리고 튀김소보로 유명한 이유 알겠음..
취향이 아닌데도 맛있음ㅎㅎ
다만,,, 몇시간 웨이팅해야하는지는 의문 접기"
5.0,2026.04.13,말해모해... 성심당 최고❤️
3.0,2026.04.02,튀김소보로 4종 순수롤 샌드위치 외5종류 먹어봤는데 기대가컸던가 그냥 저냥 그렇다면 싼가? 다들 가성비 가성비하던데 얼마나 비싼빵 드시길래 동네 가성비빵 맛과 가격면에서 이정돈 흔할껀데  별로였음 튀김소보로 기름냄새 역했음
5.0,2026.03.28,"순 크림빵 꼭 드셔보세요 진짜 대존맛🤤
빵도 많이 담았다 생각했는데 얼마 안나왔어요..!!"
5.0,2026.03.27,"말차 너무 맛있어용
말차튀소 진짜 맛있는데 한개만 사서 아숩ㅠ ㅠ"
5.0,2026.03.09,"주말에 웨이팅 오전에 대략 1시간기다림.
가성비 매우 훌륭함.. 이게 한국의 빵값 평균이했음. 맛 중상. 크기 좋음.
튀소류들 맛좋아요."
5.0,2026.03.08,"5.0점

토요일 2시방문 50분 웨이팅하고 들어갔어요. 매장 안도 사람이 가득차서 혼잡했지만 직원분들이 정말 친절하셔서 빵 찾는데 어려움이 없었습니다. 주변에 나눠주려고 빵을 10만원어치 정도 사서 양손 가득 들고왔어요. 

강력추천 라인업
참치고로케
튀소구마(튀김소보로류)-> 세트 박스로 파는데로 안 사온거 후회중
오징어먹물방망이

추천
야끼소바샌드위치
명란바게트
일반고로케

지인추천
순수롤
작은 메아리

그냥저냥
부추빵
순크림빵
그냥고로케

가격, 재료의 양, 질, 맛 완벽합니다. 비교불가
줄이 길었지만 웨이팅도 금방 빠집니다. 접기"
5.0,2026.03.01,애용
5.0,2026.02.23,대전 분들 부럽습니다
4.0,2026.02.15,빵값진짜착하당
5.0,2026.02.15,평가 불가. 신의 영역.
3.0,2026.02.04,"평일인데 지하 주차장까지 가서 한 30분 정도 줄 섰네요. 솔직히 길게 대기하면서까지 먹을 맛은 아니나, 워낙 가성비 면에서 압도적이라 대전 가면 겸사겸사 들르게 되는 것 같아요. 개인적으로 저는 다음에 대전 방문하게 되면 성심당은 케익부띠끄 정도만 갈 것 같습니다. 접기"
5.0,2026.02.02,딸기의 계절이 왔슴돠!!!🍓
4.0,2026.01.30,"튀김소보로, 딸기소보로 맛있어요.
초코소보로는 너무 달아요..
고로케랑 화이트딸기는 무난하니 먹을만했고
부추빵 개인적으로 그닥이었어요.

일요일 낮에 40분 기다려서 들어갔고
내부가 질서없이 난장판이라 힘들었네요..

가성비는 참 좋아요. 접기"
4.0,2026.01.22,"딸기시루 왜 먹는지 알겠음.. 이 가격에 딸기를 이렇게까지 폭력적으로 넣을 수가 있나?… 🧐🧐
사먹는 길에 뭐 연설하시는 분 계시던데 진심 줄 서는 것도 힘 빠지는데 계속 큰 소리로 말씀하셔서 머리에 울렸음 ㅠ.ㅠ 맛 가성비는 짱짱 하지만…. 🥲
다시 한 번 줄 설 체력은 없음 잘하면 30분 안에 사먹긴 함!  접기"
5.0,2026.01.21,"아이러브성심당 성심당 사랑해요 앞으로도 존재해주시길 나비파이 소세지페스츄리 
⭐⭐️⭐️치즈퐁듀⭐️⭐️⭐️"
4.0,2026.01.15,"빵 맛있고 가성비굿
근데 넘 도떼기 시장이라 머리 아파요....
손님 넘 많아서 직원들도 썽이 많이 나있음...
김치찹쌀주먹밥이 제일 맛있으니 다들 10개씩 사도록 해요... 접기"
5.0,2026.01.03,"그저 갓
블루베리파이!!!먹어주세요!!!진짜 숨은
맛빵인데ㅠ 왜 아무도 모르지
모카번도.. 접기"
5.0,2025.12.19,"대전 첫방문..! 
대전의 명물 성심당 처음 와봤어요!
살면서 지인들이 선물로는 많이 받아봤는데 
방문은 처음 했고, 생각보다 저렴하더라구요!
맛있고 이래서 유명한가? 싶었어요 
직원분들 다들 친절하셨고 목요일 1시기준 빵 대기줄 20분 정도 기다린거 같아요! 
부띠끄랑 시루 줄은 4-50분 걸릴것 같길래 다음을 기약하며,, 샌드위치 줄은 없었습니다!  접기"
5.0,2025.12.17,대기줄도 평일인데 길어 놀랏네요. 빵. 케익 줄이 다르고. 녹차시루는 또다른 건물에서 받고. 정말 유명한 성심당 대단합니다. 예전 오래전보다 인기가 너무 많아 졌네요. 평일인데도 ㅎㅎ. 맛납니다 케익과 빵
5.0,2025.12.12,줄 적은 시간 피해서 가는게 좋고 한번 갔을때 많이 구매하는걸 추천드립니다. 튀김소보로는 너무 느끼해요
5.0,2025.11.20,"몇몇빵은 정말 맛있고 가성비가 좋다.
이만한 가격에 이런구성
대전인들이 부러워
평일 저녁에 가면 대기 오분이니 주말만 피해간다면
만족도 100프로. 접기"
5.0,2025.11.17,"요즘 가장 핫하다는 성심당입니다. 
여전히 사람많구요 월요일 오전 10시인데 들어갈땐 사람이 많지 않았지만 나올땐 줄이 꽤나 길었어요.
이것저것 고르다보니 10만원이 넘게 샀는데 먹다먹다 질려서 냉동실 넣어구고 먹으려고요. 
일주일치 탄수화물을 오늘 다먹은것 같은…
여기 주변 비둘기들도 뚱뚱해서 오리처럼 걸어다니더군요.

앞으로 한 달은 빵 먹을 생각은 없을것 같아요.ㅠㅠ 접기"
5.0,2025.11.06,맛이 있고 유명하고 좋습니다
5.0,2025.11.03,"사람이 미어터짐. 특히 주말은 더더욱. 주변에 임산부 친구있으면 동행을 초강력추천함(임산부 패스(임산부+동행1인 패스트트랙)를 위해서 ; 빵 사주는 한이 있더라도). 진짜 너무 붐벼서 빵 구경하면서 느긋하게 살 수가 없음.

이번 생에 마지막으로 온다고 생각하면서 빵 사고 집 왔는데... 맛있음... 그 인파 뚫고 갈까말까 고민중... 접기"
5.0,2025.11.03,"25.05.28
미리 홈페이지 예약도 되고 정말 친절하고 체계적임 빵은 당연히 말도 안되게 저렴하고 심지어 맛있음

25.11.02
온라인 예약은 품절이 많아서 못했는데 일요일 오후 3-4시 방문했더니 없는 빵이 너무 많았음 
여전히 저렴하고 맛있음,, 접기"
5.0,2025.10.28,"이렇게까지 줄서서 먹진 않았는데
빨리 이 난리통이 끝났으면 좋겠네요"
5.0,2025.10.20,괜히 성심당 성심당 하는거 아니엇슨..최고엿슨..
5.0,2025.11.03,"25.05.28
미리 홈페이지 예약도 되고 정말 친절하고 체계적임 빵은 당연히 말도 ... 더보기"
5.0,2025.10.17,"대전 사람이 사는곳은 성심광역시🥖
추천하는 빵: 보문산메아리 퀸블랙 명란바게트 작은메아리 오징어먹물방망이 김치찹쌀주먹밥 말차크로와상 

소세지빵도 안이 꽉차서 소시지좋아하면 ㄱㄱ 사진에 있는거 맛있었음 접기"
5.0,2025.10.07,"맛있음…
가히 대전의 자부심이라 할 만 함."
3.0,2025.10.06,사람 많고 빵 많고 빵은 쫄깃쫄깃하고..! 다만 이보다 가까운 곳에 더 맛있는 빵집이 있어서..
5.0,2025.09.23,"냄새부터 씐나~~
평일 오전 방문은 진리
담기 바쁜 손들의 스냅이 좋았어요
친절한 응대는 완전 덤! 접기"
5.0,2025.09.17,평일에 조금 기다리긴 했지만 들어가서 빵 고르니까 행복해졌어요 ㅋㅋㅋ 역시나 가격도 너무 저렴하고 맛도 있어서 최고네요
4.0,2025.09.15,"좀 늦게 방문해서 거의 대기없이 바바로 구매  
가성비 굳!!"
3.0,2025.09.11,"주차하기 어렵고
빵사는게 전쟁입니다"
5.0,2025.08.14,제발저믿고마라고로케 드셔주셔요
5.0,2025.08.06,평일 9시 조금 넘어서 도착했는데 웨이팅 없고 계산 대기줄만 길었어요. 없는 빵 있을까봐 걱정했는데 다 있었고 품절된 빵도 없었습니다!사람 많아서 불친절하실 줄 알았는데 정말 친절하게 다 해주셨어요🥹엄청 많이 담았는데 53000원 나왔고 빵들도 다 맛있었어요(튀소는 종류별로 다 담기..)겨울에 또 재방문 하고 싶어요! 접기
5.0,2025.08.05,두 말이 필요없는 지역 명소
5.0,2025.08.04,우유푸딩❤️ 진짜 맛있음; 레전드; 명란바게트❤️ 얼려놨던거 후라이팬에 살짝 구워먹으면 극락체험
4.0,2025.08.02,"토요일 1시반 웨이팅 시작 30분 뒤 입장
내부는 혼돈의 카오스
20가지 넘게 구매해서 5만원쯤 나왔는데 가성비는 좋은듯
다만 여름에는 웨이팅 너무 힘들어요🥵 접기"
5.0,2025.08.01,통팥이라맛있어요
5.0,2025.07.29,"부추빵, 카레고로케, 찹쌀주먹밥, 미니메아리, 꽈배기 등 샀는데 부추빵이 진심 맛있음
부추전이 빵 안에 가득 들어있는 맛

개인적으로 찹쌀주먹밥을 엄청 기대했는데, 내가 별로 안 좋아하는 병아리콩이 들어있어서 실망 ..
그래도 맛은 맛있어서 다 먹음

참고로 점심이나 저녁시간쯤에 가면 줄 없음
12시 10분쯤 가니까 앞에 5명인가 있었음
2분만에 입장 개이득 접기"
5.0,2025.07.26,성심당 빵 최고네용 ㅎㅎ 주차는 근처 공영주차장 가면 자리 널널합니다!
5.0,2025.07.25,말모말모 주기적으로 가줘야함
5.0,2025.07.23,가까이 있음 매일 가고 싶어요..샌드위치가 맛있어요.
3.0,2025.07.23,"입장하고 질서 없는게 너무 혼란스러움
성심당 뒷편건물 지하에 빵보관소 엄청 큰 빵 보관소 있음
정신없어서 무슨빵 샀는지도 기억이 안남ㅋㅋ..
주차는 영수증 1개-1시간 2개-두시간 최대 접기"
5.0,2025.07.21,"솔직히 말 안 해도 다 알지 않나?

* 개인 메모용: 김치찹쌀주먹밥은 오후 2시에 나온다. 최애 메뉴가 의외로 찹쌀주먹밥인 나는 앞으로 성심당 갈 때 무조건 오후 2시에 맞춰 갈 것이다. 접기"
3.0,2025.07.23,"입장하고 질서 없는게 너무 혼란스러움
성심당 뒷편건물 지하에 빵보관소 엄청 큰 빵 보관소 있음
정신없어서 무슨빵 샀는지도 기억... 더보기"
5.0,2025.07.21,"솔직히 말 안 해도 다 알지 않나?

* 개인 메모용: 김치찹쌀주먹밥은 오후 2시에 나온다. 최애 메뉴가 의외로 찹쌀주먹밥인 나... 더보기"
5.0,2025.07.19,대전 빵투어~성심당 워낙 유명하여 평일 오전 9시 도착(인천에서 버스로 2시간) 하였는데도 사람들도 많고 다행히 줄은 많이 안 서고 들어가서 여러가지 빵들도 구경하고 저렴하게 구입~마침 M본부에서 촬영을 하고 있어서 그런가 더 복잡하긴 했지만 재미있었습니다~~주변 성심당 건물도 보고(성심당 바로 앞 떡볶이 포차에서 떡볶이 구입(여기도 맛집) 우와 떡볶이 뭐지 꾸덕하니 맛있었어여~) 친절한분 만나서 편안하게 대전 여기저기 다니면서 성심당에 역사에 대해서도 듣고 좋았습니다~다만 케익이 유명한데 다른곳 이동하려는 생각에 그만 놓치고 못 샀어요~다음에 또 가려구요~~~그리고 매해 10월에 빵축제를 한다고 하더라구요~~각지에 유명한 빵을 먹어 보고 구입 가능하다고 다만 제한 갯수는 있지만요~~그게 끝나면 칼국수 축제를 한데요~~~ 접기
