rating,date,content
3.0,2026-07-24,이게 천육백만?
3.5,2026-07-24,좋은영화지만. 명작은아님
3.5,2026-07-23,"설득력이 부족한데 박지훈, 유해진이 멱살 잡고 끌어올렸다. 이게 1600만이라는 건 놀랍지만, 그래도 둘의 연기는 정말 미쳤다."
3.5,2026-07-22,"천만 영화의 명성에 과한감이 없지 않지만, 천만 영화의 가슴속 전해지는 울림에는 과한감이 없다."
2.5,2026-07-22,"배우들의 연기에 지나치게 기대며, 서사의 빈틈을 메우려 한다."
4.0,2026-07-22,"단종애사를 읽었던 적이 있다 
어린 왕의 가슴아픔이 과함이 없이 담백하게 배우들의 명연기로 그 빛을 발한다"
1.0,2026-07-22,이게 광해랑 비교되다니..광해한테 아주 큰 실례임
5.0,2026-07-21,꼭 봐야 하는 영화
5.0,2026-07-19,평점 왜이럼?
4.0,2026-07-17,내용적으로는 무난하고 뛰어나다 할 순 없지만 배우들의 힘이나 작품의 분위기가 이 극을 이끌어 가는거 같다
3.5,2026-07-15,유해진의 연기만 보였다.
2.0,2026-07-13,장항준 감독은 도대체 무슨 운이 좋아 이런 평을 받는 걸까.
4.0,2026-07-11,"OTT 공개 전 궁금했던 호랑이와 천만 관객 흥행작이라 기대하고 봤어요. 박지훈 배우의 연기는 좋았지만, 개인적으로는 다른 작품들이 더 인상 깊었습니다."
3.5,2026-07-11,연기 덕에 산 연출
3.5,2026-07-08,볼만했음 깔끔하고
3.5,2026-07-08,낙화유수가 있기에 백화요란이 더욱 찬란한 법. 이토록 아린 애사(哀史)는 올바른 역사를 다시 거두어들인다.
3.0,2026-07-06,"스포를 알고 보는 영화지만
마지막까지 긴장을 끊을 수 없었다.
천만영화 반열에 오를만한 가치가 있냐고 묻는다면
개봉 전 다른 영화들이 삽질해서 빛을 본 영화라고밖에."
4.0,2026-07-05,네이노노노노노노옴
5.0,2026-07-03,유해진이 와 99프로가 유해진이 다했다
4.0,2026-06-30,"사람들에게 짧게 각인된 역사와
현대의 픽션 한 숟갈을
적절한 연출과 배우의 연기차력으로
버무려 맛있게 내어놓은 한상"
3.0,2026-06-29,"단종이라는 비극적 인물을 정면으로 다루며, 인간적인 감정과 울림을 차분히 끌어낸 작품🎬
이미 알려진 비극을 다시 한번 깊이 있게 마주하게 만드는 이야기의 힘이 인상적이었다."
5.0,2026-06-26,매우 재미있게 봤고 2번봐도 또 보고 싶은 작품. 박지훈&유해진 연기 넘 잘함👍 두번다 오열해써여..ㅋ 괜히 1600만 영화가 아님♡
1.0,2026-06-26,"이게 정말 재밌다고?
나만 몰카 당하는건가?

영화에서 인물이 인물로 안보이고,
우리가 익히 아는 그 배우들로 보이면
이건 큰 문제다. 특히나 사극에서.

장항준 감독 너무 호감이고, 응원하지만
이게 그 정돈 절대 아니지.."
1.5,2026-06-22,1.5점
0.5,2026-06-14,"내용도 없고 싸구려 유머, 감정 자극만 범벅"
5.0,2026-06-14,"역사에서 간단히 다뤄진 단종의 이야기를 색다룬 관점에서 풀어낸 이야기, 배우들의 연기력으로 높은 평점을 줄 수 있는 영화"
2.5,2026-06-10,1689만명에 난 포함 안되어있다.
5.0,2026-06-10,박지훈의 눈동자만 봐도 주룩주룩
4.5,2026-06-09,재밌게 봤으나 4점 정도가 적당
