rating,content,date
5,한국 신파물 재밌게 봤어요.,2026-07-22
10,유쾌하면서 감동적인-!!,2026-07-22
6,역시나 완성도가 아닌 감성팔이가 성공한다,2026-07-22
8,"메가박스 남돌비 좌석 I11 Very Good,  유해진 연기 Very Good, 스토리도 나쁘지 않으나 연출력이 많이 어설픔.",2026-07-22
10,박지훈 잘생겼습니다ㅎ,2026-07-21
10,배우분들 연기가 좋았습니다. 단종이 왕이 되었다면 어떤 왕이 되었을까 ..상상도 해보게 되네요,2026-07-21
10,슬퍼잉ㅜ.ㅜ😭😭,2026-07-21
10,역사를.다시 생각하게 하는 영화,2026-07-21
9,내용과 연기가 넘사벽,2026-07-21
9,단종옵밥많이먹으세요,2026-07-20
10,정말 오랜만에 엄청 눈물이 나왔다. 갱년기인가?,2026-07-20
10,완전 대박 최고 멋져요,2026-07-20
10,말해뭐해굿입니다요요,2026-07-20
10,믿고보는 배우..유해진 최고입니다.,2026-07-19
10,감동적이었다. 마지막 장면만으로 볼 가치가 있음,2026-07-19
10,연민어린 시선 마지막에는 위로를 주는 영화,2026-07-19
9,박지훈 눈빛과 배우들 연기 미쳤다,2026-07-19
7,"재밌다, 감동적이다, 개봉시기 잘 잡았다, 올려치기 적당히.",2026-07-19
8,삼삼하지만 강력했던 감동.,2026-07-18
8,배우들이 연개를 매우 잘해서 몰입 잘 되고 재밋음,2026-07-18
10,너무 너무 슬프지만 코믹이 녹아있어 재미있게 보았습니다,2026-07-18
10,안 슬픈데? 하고 보다가 어느새 눈물이 처음부터 끝까지 슬픈 영화,2026-07-18
10,천만영화라 안볼수가 없어요,2026-07-18
10,느낌이 확오는 멋진 작품입니다. 시간 가는 줄 모르고 재밌게 보았네요.,2026-07-18
10,완벽 그 자체입니다,2026-07-18
10,왕과 사라가는 인생이 불씽 하네요,2026-07-18
10,"""저는 이제 어디로 갑니까.""",2026-07-18
10,질보았습니다 재미있어요,2026-07-17
7,배우의 재 발견   소문만큼 재미있지는 않음,2026-07-17
10,더 뭘 말하겠어요 멋있고 감동적이고 역사적이고 등등등,2026-07-17
10,재밌게 잘봤습니다~~~!!!,2026-07-17
9,특별한건 없지만 여운이 남네요,2026-07-17
10,지루하지 않고 잘 봤어요,2026-07-17
10,눈물 광광 박지훈 존잘,2026-07-17
10,연기가 너무좋았어요,2026-07-16
10,스토리는 뻔했지만 유해진과 박지훈의 연기가 다 한 작품,2026-07-16
10,잔잔하지만 감동적인 포인트가 있어서 좋았습니다.,2026-07-16
10,감동이에요 ~~~~,2026-07-16
8,아는 이야기였을지 모르지만 이렇게 재밌으면서 슬픈 영화로 만들기는 쉽지 않다~,2026-07-16
10,상영 시간이 너무 짧게 느껴진다,2026-07-16
10,말이필요없는 최고의영화!,2026-07-16
10,왜곡된 역사란.... 이렇게 무섭구나....,2026-07-16
10,ㅎ잘보았습니다 실화라더감동,2026-07-16
10,일때문에 중간에 보다 나왔지만 스토리 짜임이 좋다,2026-07-16
8,다들 연기 잘하고 너무 슬퍼 ....,2026-07-16
10,믿고보는 배우들 !! 잘봤습니다,2026-07-16
10,연기 다 너무 좋었던 ㅠㅠ,2026-07-16
7,"단종을 다시 생각하며, 배우들의 재발견",2026-07-15
10,보면서 이렇게 몰입하기는 처음..!,2026-07-15
10,이제서야 봤는데 진짜 재밌고 슬펐어요,2026-07-14
10,남편이랑 재미있게 봤어요.,2026-07-14
10,완전 추천하는 영화!!,2026-07-13
10,네번째 봄.또 역시나 울었음. 충신 영월.,2026-07-12
8,주인공 캐스팅이 완벽랬던 영화,2026-07-12
10,가족모두 잼있게 잘봤어요,2026-07-12
10,보고 또 봐도 절대 질리지 않은 영화였어요.,2026-07-12
10,나도 기꺼이 그대의 벗이 될 것이다,2026-07-12
9,재밌어요. 박지훈 잘생김,2026-07-11
10,무조건 꼭 봐야해요.!,2026-07-11
7,사극 처음인데 너무 재밌었다 조금 아쉬운부분이 있지만 그래도 오랜만에 재밌는 영화본것같아서 좋았다,2026-07-10
8,배우들 연기는 좋았는데.. 연출부분이 너무 촌스러운 부분이 있어요,2026-07-10
10,이거는 꼭 봐야하는 영화입니다 잘 봤습니다,2026-07-10
10,단종 배우 연기가  마음을 움직이게 하는 뭔가가 있어서 여운이 깊게 남습니다.,2026-07-10
10,하.. 너무 좋아요 올해 무조건 봐야하는 영화,2026-07-09
7,연출이 아쉽지만 배우들의 연기가 좋았다,2026-07-09
10,눈빛으로 말하고 눈빛으로 끝나는,2026-07-09
6,슬프긴한데.. 흠 박지훈 얼굴 최고!,2026-07-09
10,진짜 눈물나서 힘들었네ㅜㅜ 단종..,2026-07-09
8,대중적으로 보기 좋음,2026-07-08
9,저는 호랑이도 안 어색했어요,2026-07-08
8,지훈옵 복복해주고싶네여,2026-07-08
10,재밌게 감명깊게 잘 봤어요,2026-07-08
10,배우연기에감탄 모르던 역사를 알게해주셔서 몰입했었던같아요~~,2026-07-08
10,가슴이 먹먹했어요 재밌게 잘봤어요,2026-07-06
10,가볍게 보러 갔다가 눈물 줄줄 흘림.,2026-07-05
10,굿  너무잘 보고 왔습니당~~^^,2026-07-05
8,대화에 소외되기 싫어서 봤어요,2026-07-05
10,왕사남 사랑해요♡♡♡♡,2026-07-05
5,그냥저냥 쏘쏘한 듯,2026-07-04
8,연기는 좋지만 영화 자체는 별로 인상깊진 않은 것 같아요.,2026-07-04
10,너무 너무 재밌었음 눈물이나,2026-07-03
