rating,date,content
4.5,2026-02-04 10:24,왜 박지훈인지 단번에 납득가는 눈빛이 지림
5.0,2026-02-04 11:35,아 ㅋㅋ 진짜 미치겠다 세조 싸움 잘함?
5.0,2026-02-04 10:41,오랜만에 극장에서 볼 만한 영화 나왔다... 진짜 꼭 보세요!!! 올해 가장 잘한 일? 왕사남 개봉하자마자 극장 가서 본 일... 믿고 보는 유해진 역시는 역시...ㅠㅠ 웃기다가 울리다가 다하는 거 ㄹㅇ 반칙임;;;; 역사책 찢고 나온 열연 미쳤고 박지훈도 그냥 단종 그 자체... 나 과몰입해서 광릉에 별점 테러하러 간다. 아무도 막지마. 연휴에 부모님 모시고 가서 또 봐야지!!!
5.0,2026-02-04 10:30,유해진 조선사람 그자체라는 짤 보고갔는데도 너무 리얼해서 깜짝놀람 ㅋㅋㅋㅋ단종역할 배우도 처음봤는데 대배우 되겠더라 넘 재밌고 슬펐음 ㅜㅜ
5.0,2026-02-04 10:43,홍위도 울고 흥도도 울고 나도 울었다
5.0,2026-02-04 12:26,이동진 평론가가 극찬했다는 이유를 알 것 같아요 2026년 올해의 영화... 갑니다~!
5.0,2026-02-04 10:51,"와 오랜만에 극장에서 볼만한 영화 나온듯배우들 연기 차력쇼 미쳤고, 보면서 눈물 콧물 다 흘림 진짜로.. 설 연휴에 부모님이랑 같이 보기 좋은 듯!!"
5.0,2026-02-04 09:48,"가족들과 한번 더 볼거에요.... 유해진 박지훈 연기 미쳤고, 웃고 우느라 속절없이 당해버림. 단종은 박지훈.."
5.0,2026-02-04 10:57,오ㅏ.. 결과를 알고봐도 좋았고 설에 부모님 모시고 또 봐야지
5.0,2026-02-04 10:50,오랜만에 사극 영화 보고 웃다가 울다가 과몰입한 영화!! 연기까지 완벽!! 설연휴 영화로 강추
5.0,2026-02-04 09:54,박지훈 눈을 봐라 단종이다
5.0,2026-02-04 14:12,유해진의 에어비앤비 (사장님이 친절하고 게스트가 미남이에요)
5.0,2026-02-04 12:08,박지훈 퍼스널컬러는 단종이였다
5.0,2026-02-04 17:18,"버석한 입술에 미소가 걸리고 텅 빈 눈에 다시 빛이 돌아올 때, 소년은 그제야 어른이 된다."
5.0,2026-02-04 12:17,단종을 나약하게만 그린 것이 아니라 왕이었다는 것을 느끼게해준 영화. 유해진 박지훈의 조합이 이렇게나 감동을 주다니 여운이 깊게 남습니다.
5.0,2026-02-04 12:41,"F는 보지 마라 진짜...잘 참았다고 생각하겠지, 그때부터 시작이다"
4.5,2026-02-04 15:11,호랑이 말고는 모든 게 좋았던 작품
4.5,2026-02-04 14:21,”다시 태어난다면 기꺼이 그대의 벗이 되리라“
5.0,2026-02-04 14:14,박지훈은 영화계 최고의 보석이다. 눈에 보석박음.. 눈만봐도 눈물..
5.0,2026-02-04 11:27,569년이 지났지만 단종은 모두가 응원하고 잊지 않을 존재로 기억되고 있네요. 세조도 무덤에서 일어나서 이 영화 보시길
5.0,2026-02-05 02:06,"꺾여졌을지언정 태생부터 적통이었던 왕의 기품은 고고하다.  박지훈 배우가 연기한 단종이 너무 아름답고 단단한 성군의 자질이라 역사 속 단종이 너무 아깝다는 생각이 든다. 금성대군에게 보내는 단종의 의지가 담긴 편지 내용이 너무 인상깊다.유해진 유지태 배우의 연륜있는 명연기와, 그와 맞붙어도 전혀 밀리지 않는 단종 역 박지훈 배우의 신선한 내공도 다 너무 박수쳐주고 싶은 영화.    오랜만에 영화관을 나서면서 깊은 생각을 하게된다.성공한 불의와 실패한 정의에 대해서. 이런 장을 만든 장항준 감독에게도 박수를."
5.0,2026-02-04 11:41,박지훈 연기…미쳤구낭
5.0,2026-02-04 14:11,박지훈의 단종이 너무너무너무 인상깊고 연기가 미쳤습니다 20대 배우중 제일 기대되는 배우그리고 유해진이 날아다닙니다 왕사남으로 큰상 많이 받으실듯
5.0,2026-02-04 10:26,마지막에 오열해버렸습니다
5.0,2026-02-04 19:36,단종은 하고 싶어서 하는 역할이 아니라 주어진 자가 할 수 있는 역할이라는데 그 주어진 자가 박지훈인게 확실하다. 향후 10년동안은 단종하면 박지훈을 떠올릴듯
5.0,2026-02-04 14:43,유해진 박지훈 두 사람 상줘라
5.0,2026-02-04 11:46,이런 사극 오랜만인데 너무 좋았습니다 ㅠㅠ 박지훈 대배우될 거 같음
5.0,2026-02-04 15:12,오늘 이후로 김은희 남편이 아닌 <왕과 사는 남자>의 감독으로 불릴것! 결과를 우리 모두 다 알고 있기에 영화에서의 결말만큼이라도 성공하기를 바랬다 ㅠㅠ
5.0,2026-02-07 19:09,"유해진 드디어 남우주연상에 오를듯,,,,마지막 클라이막스는 유해진이 아니면 살릴수없는 연기"
5.0,2026-02-04 14:40,그냥.. 보세요.. 진짜 이런 감정을 느끼게 해준 영화가 얼마만인지... 감히 올해의 영화라 할 수 있다고 봅니다
